	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
AEN	2512	1062	1193	409	1522	898	707	743	737	886
AES	15379	10701	8518	4870	10077	22903	19589	21379	18893	16427
AF001548.5	44	38	33	12	21	69	97	64	103	56
AF064858.6	59	319	292	33	32	43	24	66	52	31
AF064858.8	126	98	542	18	39	16	13	60	35	11
AF127936.9	24	121	49	0	27	154	103	259	105	307
AF131215.2	20	51	104	12	18	122	108	179	116	139
AF131215.9	13	25	57	4	12	82	73	110	75	118
AFAP1	1403	4204	2303	225	808	3734	3846	4891	1976	1736
AFAP1L1	155	256	120	24	144	277	305	382	220	265
AFAP1L2	285	627	415	43	422	994	1062	1245	992	1065
AFF1	1288	3174	2815	106	762	5624	6302	6966	4454	6616
AFF3	119	63	16	6	14	442	971	702	256	290
AFF4	997	3917	2892	52	1167	4726	5509	5606	3788	5641
AFG3L1P	363	435	321	121	544	350	356	454	406	518
AFG3L2	1089	1609	1590	187	1291	6502	3724	7960	5308	8777
AFMID	561	1195	1227	114	460	688	384	907	718	748
AFTPH	447	2088	1844	12	522	2855	2290	3200	2212	3096
AGA	441	963	596	64	367	1014	604	1031	736	986
AGAP1	2962	3044	1935	401	1664	6661	4371	7044	4245	7536
AGAP10	58	59	30	26	104	94	49	101	94	305
AGAP2	64	210	546	41	171	253	151	300	593	164
AGAP2-AS1	212	390	95	46	167	279	170	191	141	123
AGAP3	3900	3408	1390	839	3342	2584	2103	2378	1850	3345
AGAP4	50	58	25	2	13	46	38	66	38	83
AGAP6	69	211	90	46	120	107	157	188	122	133
AGBL2	15	58	28	0	16	50	14	83	64	118
AGBL3	11	51	57	2	19	34	37	44	72	53
AGBL5	1168	1084	928	201	787	1710	1255	1802	1069	1209
AGER	65	95	22	15	67	51	78	99	85	112
AGFG1	2412	2945	3560	251	1941	3031	2552	3590	2588	5410
AGFG2	744	1918	1017	687	1299	4989	1341	6852	4651	3349
AGGF1	633	1281	1559	56	711	1682	1145	2067	1444	2815
AGK	578	1190	639	121	504	964	815	1154	906	710
AGL	210	1138	1036	37	299	2225	2073	2977	1750	1766
AGMAT	651	1658	1324	223	743	934	746	1219	1182	2225
AGMO	38	21	158	0	90	84	39	153	161	3650
AGO1	1144	1668	1425	77	640	2208	1748	3065	1940	3958
AGO2	3311	3953	2314	168	1683	2265	3391	3000	1990	2037
AGO3	396	756	575	26	187	575	1012	854	595	837
AGO4	609	1206	701	36	258	936	1215	1367	885	1602
AGPAT1	1862	2826	749	336	1657	3834	3007	4357	3117	6154
AGPAT2	3713	3563	3687	3312	6724	11235	7760	10302	11898	27457
AGPAT3	2831	5178	4524	746	3171	9535	4907	9162	7108	14598
AGPAT4	99	367	169	1	108	421	640	325	370	175
AGPAT5	433	1149	1724	107	815	1876	1745	3045	1839	1117
AGPAT6	5009	5556	1113	275	1768	2917	2349	3572	2840	2240
AGPAT9	89	348	110	15	161	1443	1937	1632	1658	4868
AGPS	1195	2987	1632	94	836	3509	2642	3982	3103	2620
AGR2	4514	15886	32834	1691	7205	31622	26201	23673	23380	31559
AGR3	39	695	1202	13	351	5615	1707	4863	2894	11667
AGRN	8891	5463	4094	1940	4963	7242	4349	5710	6352	5483
AGT	277	1175	683	327	1374	217	110	646	364	2216
AGTPBP1	691	841	570	28	310	563	510	659	555	513
AGTRAP	1978	1414	1281	440	553	967	694	926	973	492
AGXT	28	21	7	10	35	180	31	89	56	8
AHCTF1	523	1554	1153	57	608	1496	1600	2019	1273	1774
AHCY	22073	21857	9295	6688	18167	8614	4853	9331	7532	8572
AHCYL1	2585	5364	5849	497	2605	7511	6514	9371	6258	15569
AHCYL2	265	5587	1568	252	1671	32727	14521	39770	20040	5994
AHDC1	773	903	280	97	403	1329	2118	1330	1028	904
AHI1	160	592	337	37	237	366	619	560	417	391
AHNAK	10791	29054	10705	437	5192	90082	174300	76367	50544	86581
AHNAK2	512	2287	119	61	199	4202	12442	2154	644	1610
AHR	1162	2600	3236	140	896	2505	2858	3260	2507	2315
AHRR	32	84	11	9	81	195	120	320	363	134
AHSA1	3782	4913	2017	1088	2930	4498	4116	4702	3661	3674
AHSA2	413	1233	533	63	637	425	603	1176	601	840
AIDA	271	1043	628	22	178	818	1013	1059	659	971
AIF1	229	543	298	55	100	896	419	958	1804	797
AIF1L	630	136	20	31	134	657	689	625	416	752
AIFM1	2108	3488	2197	438	2962	4156	2218	4659	3602	5236
AIFM2	1609	1726	1414	405	1109	2596	1290	2207	2242	1808
AIFM3	1677	1787	979	433	954	4483	1530	4576	3308	208
AIG1	845	1598	561	299	705	1121	952	1314	1085	6394
AIM1	1580	4905	2760	108	2844	8288	4169	12899	10198	7668
AIM1L	601	828	419	126	844	1983	1290	1173	1677	2053
AIM2	21	74	274	14	16	24	17	60	102	27
AIMP1	984	1779	2597	96	890	2368	1849	2849	1723	2765
AIMP2	1131	1273	843	381	821	1449	877	1400	1237	1856
AIP	1239	1900	917	1620	1599	3138	1847	2750	2252	3042
AJUBA	992	991	529	80	434	144	147	156	110	92
AK1	386	288	349	149	184	720	588	991	698	165
AK2	3742	4019	4777	816	2413	6240	3746	7304	6363	10142
AK3	865	3531	2963	203	1350	7331	4976	8504	6098	5597
AK4	733	3225	430	32	459	1943	2396	2705	752	1506
AK7	15	62	55	15	81	129	96	234	232	166
AK8	78	39	73	13	10	30	27	18	17	16
AK9	86	258	156	6	113	198	229	339	174	283
AKAP1	5744	11354	5066	1317	5337	11783	8205	13397	9103	11230
AKAP10	497	834	489	103	345	1071	971	1525	930	1215
AKAP11	1234	3408	2259	109	1349	2312	3266	2820	1861	2031
AKAP12	700	2201	277	8	192	3501	13553	3815	1949	7227
AKAP13	1530	4972	2894	262	1917	8849	9995	11627	9163	9330
AKAP17A	1149	1487	1391	443	1471	1507	1368	1948	1746	1422
AKAP3	8	68	54	0	16	43	62	116	57	73
AKAP5	15	411	150	5	44	695	439	736	558	430
AKAP6	73	107	52	0	21	507	1934	476	255	1006
AKAP7	39	375	419	13	103	1108	873	1119	657	1498
AKAP8	1610	1820	1044	298	1056	1809	1296	2090	1457	2227
AKAP8L	1603	1567	638	185	748	1181	891	1515	936	1221
AKAP9	559	2915	1714	67	611	5590	2780	8990	5528	9876
AKIP1	745	632	656	166	399	676	492	692	517	612
AKIRIN1	1359	1952	2035	189	881	3280	2867	3247	2437	3417
AKIRIN2	1556	1491	847	320	1824	1915	1030	1597	2005	1454
AKNA	1649	2341	1803	336	1409	3221	1892	4484	5412	2323
AKR1A1	5210	4614	4193	2005	2946	6590	3136	6525	6432	23045
AKR1B1	554	1592	381	89	491	2039	1169	3546	1983	1662
AKR1B10	5	528	151	51	1489	6439	3298	6426	7121	22496
AKR1C1	73	82	31	1	55	381	323	226	138	303
AKR1C2	125	162	22	17	64	708	345	770	570	1057
AKR1C3	2760	2926	575	474	2359	7102	2459	10903	7876	20042
AKR1E2	130	93	99	11	82	39	47	44	54	33
AKR7A2	1716	1812	1502	508	934	3671	1881	3865	2848	4731
AKR7A3	890	991	1435	295	628	2764	927	3455	2716	10655
AKR7L	68	131	96	10	58	76	70	183	124	944
AKT1	4992	5646	2174	1316	4726	8675	7193	7056	6531	7513
AKT1S1	2639	2348	1576	535	1923	3503	2157	3070	2700	3191
AKT2	5510	4767	2780	1819	4050	5618	4455	5312	4608	4861
AKT3	230	831	260	6	202	1185	2601	1284	637	1134
AKTIP	263	828	507	28	457	993	1032	1376	902	2215
AL133243.1	12	52	30	1	6	34	46	33	21	21
AL133243.2	8	34	14	0	12	23	22	21	19	49
AL136419.6	9	29	14	9	23	36	39	44	34	44
AL162151.3	221	2	5	29	61	61	12	73	44	38
AL450992.2	5	34	42	0	5	17	16	48	15	19
ALAD	1588	1991	1947	304	1767	5517	3124	6159	3525	5962
ALAS1	2030	2269	3230	439	2408	7030	2918	6324	6259	6979
ALCAM	772	3069	2143	50	685	1296	1563	1732	1410	1805
ALDH16A1	1029	1142	674	1038	1601	1709	1287	2078	2716	3561
ALDH18A1	2839	8599	2907	833	3545	10930	5524	15104	9120	19928
ALDH1A1	655	1119	1150	86	354	6289	7741	10301	4950	24918
ALDH1A2	8	24	18	16	6	87	259	47	22	228
ALDH1A3	441	675	874	63	211	348	488	450	287	949
ALDH1B1	6047	5057	9440	1143	4586	4600	3825	6266	5007	5236
ALDH1L1	108	516	340	173	129	303	505	3925	3814	181
ALDH1L2	128	365	119	33	159	298	378	480	376	126
ALDH2	6510	8389	9206	1942	6987	21664	10456	20473	15772	24277
ALDH3A1	369	39	573	111	319	742	145	446	337	198
ALDH3A2	2278	1798	1970	234	1353	6042	3684	7359	4712	8044
ALDH3B1	618	1308	523	257	1197	1795	864	1589	1358	5806
ALDH3B2	8	6	60	9	151	9	0	4	13	1
ALDH4A1	1061	909	388	202	1139	499	354	358	518	278
ALDH5A1	660	2068	1178	152	561	1311	1205	2446	964	2118
ALDH6A1	301	1034	804	20	311	2679	1498	3579	2388	3996
ALDH7A1	1294	2238	2749	278	1832	2977	1723	4094	2792	3909
ALDH9A1	1730	2912	2819	309	2718	5841	3831	7189	4230	9080
ALDOA	71281	42521	45362	18513	47903	100234	52394	90749	76891	63243
ALDOB	583	2872	377	728	824	662	112	399	832	1044264
ALDOC	1588	1050	525	370	765	1985	643	681	755	10421
ALG1	1162	1744	1172	355	929	1391	769	1352	1219	1238
ALG10	21	117	134	0	15	81	84	112	101	126
ALG10B	17	298	386	0	60	283	272	404	305	326
ALG11	225	391	334	38	209	331	324	443	292	407
ALG12	324	681	439	183	402	1232	771	1290	1017	1104
ALG13	305	1166	662	214	540	1128	808	1645	1184	1709
ALG14	169	517	537	38	263	1107	393	866	844	927
ALG1L	111	32	37	16	5	53	15	27	70	3
ALG1L2	8	18	4	3	4	17	18	8	8	8
ALG1L6P	16	28	9	1	23	26	46	36	49	36
ALG2	1125	1429	1998	254	842	1801	1173	2252	1656	1712
ALG3	2618	2385	1783	720	2634	2256	1407	2065	1946	2270
ALG5	1436	1706	2425	342	1684	1712	936	1720	1565	2029
ALG6	142	561	778	9	159	677	402	793	595	681
ALG8	345	1479	1402	174	627	977	704	1295	984	1092
ALG9	65	309	234	7	146	340	338	420	260	424
ALKBH1	153	421	254	41	150	387	310	577	423	653
ALKBH2	455	470	456	222	423	344	290	378	303	383
ALKBH3	525	574	678	125	211	804	451	852	661	970
ALKBH4	325	401	230	114	240	662	395	636	489	521
ALKBH5	2267	2467	1392	321	1169	5531	4309	5293	3752	6351
ALKBH6	68	91	74	7	28	56	45	108	94	70
ALKBH7	1383	1353	1462	1900	1578	5848	1842	3969	4170	5641
ALKBH8	82	400	270	11	100	287	321	336	289	311
ALMS1	538	967	730	29	305	880	1088	1221	925	816
ALMS1-IT1	6	11	5	0	8	12	11	16	14	19
ALOX12	34	30	6	2	28	75	54	79	63	68
ALOX12-AS1	19	77	33	1	32	118	86	166	90	165
ALOX15	142	94	55	6	29	19	40	36	103	155
ALOX15B	8	53	12	1	12	55	9	1109	70	25
ALOX5	429	975	256	135	312	679	283	1290	1088	2168
ALOX5AP	409	866	375	139	223	565	254	805	1129	635
ALPI	8	209	13	92	113	4309	887	2166	803	40700
ALPK1	241	623	626	71	176	959	425	1484	943	880
ALPK2	39	90	19	2	9	7	9	10	23	8
ALPK3	155	2129	784	186	153	399	977	221	93	370
ALPL	236	199	48	66	79	192	134	215	303	193
ALS2	445	823	555	51	303	578	730	903	640	1688
ALS2CL	1511	1859	836	263	1267	1379	827	1531	1243	870
ALYREF	4241	2963	3685	1155	3027	2749	1819	2224	2685	2011
AMACR	282	1410	560	110	312	2082	565	2106	1172	418
AMBP	50	22	20	0	54	22	6	23	10	51
AMBRA1	2148	2222	1054	342	1335	3098	1977	3116	2794	2526
AMD1	1797	4311	3332	202	1795	4175	4076	4855	3776	4906
AMDHD2	431	590	240	427	472	797	338	739	608	1291
AMER1	448	930	324	29	338	432	589	562	412	333
AMFR	2215	5400	5204	817	3886	6981	4373	6552	4651	8928
AMH	235	7	14	51	36	5	13	8	12	17
AMICA1	132	450	144	55	172	965	365	1856	2856	1138
AMIGO1	200	490	236	20	196	511	990	880	246	659
AMIGO2	216	844	451	28	637	810	2486	872	353	894
AMMECR1	532	1174	1085	29	453	659	455	829	663	505
AMMECR1L	1262	1469	1236	145	884	1395	1139	1921	1178	1406
AMN	469	2339	165	1132	1902	12267	3584	9654	9534	34221
AMN1	21	68	63	7	46	119	88	100	100	105
AMOT	640	1265	1330	37	1882	1253	1141	1303	893	1598
AMOTL1	429	1123	321	29	240	2767	7797	1770	845	2318
AMOTL2	1882	1707	983	177	1247	1167	1421	1380	785	1752
AMPD2	1508	2794	1071	350	1524	1397	1076	1545	1541	2249
AMPD3	603	1155	617	42	159	465	337	812	542	741
AMPH	28	70	28	24	11	82	116	140	75	118
AMT	997	458	92	74	272	1609	963	1672	1048	2203
AMY2B	38	157	100	4	52	68	97	201	95	233
AMZ2	936	2237	2119	244	623	1763	1429	1882	1387	1944
AMZ2P1	64	187	251	11	65	244	256	273	184	305
ANAPC1	726	1191	876	65	578	823	854	1142	871	623
ANAPC10	145	249	289	9	61	259	227	299	210	324
ANAPC11	3376	1931	3297	2959	4231	3158	1510	2376	2420	2912
ANAPC13	845	1597	2122	105	623	1619	1094	1940	1158	2116
ANAPC15	233	498	251	138	341	893	589	758	613	624
ANAPC16	903	2974	2923	262	1480	4801	4356	5894	4037	7507
ANAPC2	1934	1270	872	638	1407	2053	1390	2049	1800	2431
ANAPC4	317	771	762	45	327	800	742	1148	864	1086
ANAPC5	3458	4804	4989	1202	3356	5738	3116	6004	4730	6817
ANAPC7	1633	1791	1620	617	1474	1307	1289	1488	1263	822
ANG	225	634	355	142	264	1483	676	1292	799	1912
ANGEL1	750	1893	507	147	662	986	930	1232	989	645
ANGEL2	332	996	796	63	459	849	677	1077	774	846
ANGPT1	43	160	81	1	16	141	441	259	166	216
ANGPT2	135	201	197	15	147	106	181	241	134	86
ANGPTL2	1974	3803	636	216	1040	3287	4528	2437	1624	2773
ANGPTL4	237	188	108	41	191	346	410	179	329	6545
ANK1	29	61	455	3	24	38	48	42	67	27
ANK2	153	381	49	7	66	1624	4433	1512	1279	2006
ANK3	250	1047	941	18	249	3651	2000	5798	3426	4843
ANKAR	33	63	90	0	45	78	80	115	66	74
ANKDD1A	53	76	55	17	55	158	206	164	195	132
ANKDD1B	21	79	295	65	77	169	97	434	248	34
ANKEF1	657	678	840	78	647	568	321	656	502	837
ANKFY1	2263	2461	1348	184	1255	3989	3793	4505	3961	3424
ANKH	3699	10746	3579	1289	2551	6942	5066	9415	6363	8728
ANKHD1	66	211	130	13	104	214	229	277	247	240
ANKHD1-EIF4EBP3	35	117	107	23	38	187	142	253	203	191
ANKIB1	940	2878	1446	120	860	2239	2078	2752	1893	2852
ANKLE1	17	20	3	2	12	14	12	13	12	12
ANKLE2	1886	2448	2065	542	1701	2510	2432	3111	2257	2233
ANKMY1	636	558	151	167	571	528	334	585	482	556
ANKMY2	445	790	523	28	377	1288	1039	1938	1167	2037
ANKRA2	223	543	560	86	313	743	453	1061	547	1018
ANKRD10	3146	3972	3583	625	2312	2985	2569	4010	2354	2986
ANKRD10-IT1	29	200	149	5	54	88	169	241	128	113
ANKRD11	2285	4235	1472	392	2760	4964	4463	5279	4424	4410
ANKRD12	159	1046	387	29	159	1881	2110	2324	1855	2595
ANKRD13A	737	1933	1242	65	766	4550	2227	5272	3972	3209
ANKRD13B	1367	822	167	232	856	174	332	163	147	119
ANKRD13C	196	930	884	9	271	1325	1080	1589	1044	1162
ANKRD13D	695	999	468	407	890	591	577	570	868	477
ANKRD16	440	319	289	140	327	298	203	315	289	309
ANKRD17	3103	5080	3664	197	1750	5139	5278	7062	4198	5182
ANKRD18A	25	29	0	1	34	35	32	57	27	31
ANKRD18EP	23	173	101	0	35	144	131	248	116	275
ANKRD19P	7	14	18	9	6	24	12	26	25	26
ANKRD20A5P	7	52	9	1	11	35	22	51	31	16
ANKRD22	278	1534	1267	39	645	510	971	889	740	120
ANKRD23	32	26	9	0	11	21	6	32	13	27
ANKRD24	16	35	20	5	17	81	51	119	58	110
ANKRD26	111	312	173	1	65	255	276	367	201	230
ANKRD27	2234	3092	2119	157	1594	2650	2342	3165	2203	2420
ANKRD28	1327	2023	2056	70	977	2877	2396	3381	2170	2578
ANKRD29	31	139	260	19	6	119	163	133	118	431
ANKRD32	91	157	380	21	74	238	176	411	299	475
ANKRD33B	79	77	17	12	35	219	357	514	270	157
ANKRD34A	19	34	12	0	28	38	55	39	30	50
ANKRD35	38	39	22	10	19	157	244	134	118	166
ANKRD36	18	98	58	0	24	37	64	80	38	39
ANKRD36B	15	62	22	0	14	16	35	37	25	19
ANKRD36BP2	2	73	11	9	42	216	79	236	373	112
ANKRD36C	19	50	50	1	7	20	53	27	40	14
ANKRD37	225	121	153	30	76	260	121	200	130	304
ANKRD39	338	302	158	301	303	434	285	344	333	385
ANKRD40	1049	1739	1624	94	846	2052	2846	2387	1538	2289
ANKRD42	118	499	270	34	176	456	421	608	363	469
ANKRD44	113	373	263	4	117	431	604	658	835	533
ANKRD46	396	804	722	31	229	703	599	1073	442	1361
ANKRD49	122	697	537	33	221	412	358	651	438	673
ANKRD50	654	1327	641	37	275	1044	1252	1172	791	1447
ANKRD52	2039	3332	1740	510	1968	4365	3560	4799	3450	3762
ANKRD54	538	688	530	216	547	1162	882	1029	896	851
ANKRD6	89	140	28	1	13	149	295	164	126	115
ANKRD61	9	19	5	3	4	9	15	26	7	14
ANKRD65	44	84	9	14	23	235	423	189	139	163
ANKRD9	1287	1846	673	1008	1497	7172	2726	6537	5744	10371
ANKS1A	1719	3531	1556	183	1421	4277	4538	4410	2990	3726
ANKS3	501	556	211	103	456	446	394	484	427	497
ANKS4B	915	2035	2075	229	1371	4321	2260	5431	4009	10327
ANKS6	2127	1554	1245	284	960	1277	982	1194	907	1137
ANKZF1	1552	1819	885	254	858	932	767	1669	1041	1231
ANLN	1143	1452	2110	52	700	522	391	816	725	395
ANO1	687	1103	512	62	1056	1012	981	1325	491	499
ANO10	1131	1934	1731	328	937	5816	2350	6039	4454	8570
ANO2	11	17	6	2	20	51	78	57	53	40
ANO6	1033	3346	2242	221	1719	2496	4390	2672	1259	9701
ANO7	83	563	74	33	113	579	356	1426	694	705
ANO7P1	89	101	65	9	52	175	38	118	179	165
ANO8	433	478	116	111	379	424	281	480	381	404
ANO9	5724	9401	1446	1826	5695	3164	1579	3804	3360	7560
ANP32A	2153	3807	3854	335	2191	6221	4038	6673	5086	6569
ANP32B	5857	5499	5262	696	3354	7871	5674	8887	6289	7036
ANP32E	1059	1147	1799	86	781	1494	1488	1751	1557	2320
ANPEP	772	2987	457	403	10357	56441	23545	82783	126899	1105897
ANTXR1	2448	13557	2707	136	1263	3066	4714	4092	2601	2828
ANTXR2	1033	3013	2373	96	558	8944	9712	8114	4502	7009
ANXA1	1353	2767	1787	93	1088	2897	3898	2957	3109	3182
ANXA11	7559	12532	12012	2218	9224	29824	14956	25542	23097	24435
ANXA13	2730	297	526	88	736	1569	466	1670	659	4550
ANXA2	19624	24067	35050	3299	21358	38500	26503	33153	32703	39160
ANXA2P1	16	14	21	9	5	12	9	13	16	11
ANXA2P2	759	236	216	261	166	360	206	306	263	286
ANXA2R	16	42	14	4	14	62	39	67	116	75
ANXA3	2440	3220	5754	114	1286	1868	1160	1168	962	892
ANXA4	5969	9102	9799	1049	9070	16500	7678	12582	12122	36353
ANXA5	5296	8451	7515	1393	2687	5854	6130	7430	6583	6394
ANXA6	4194	5382	5013	711	1914	7085	8865	7149	5953	7095
ANXA7	2195	5642	4365	527	2407	7359	5047	7129	5846	5759
ANXA9	177	302	163	27	185	322	209	404	217	363
AOAH	338	2333	1138	97	626	1177	445	1921	1957	418
AOC1	3678	15758	6486	2593	10494	69222	24056	52845	33759	109825
AOC2	23	16	19	0	4	8	18	12	5	28
AOC3	955	1500	199	46	329	6390	15284	4992	2229	6334
AOX1	184	255	85	0	123	362	625	1065	483	427
AP000254.8	24	22	47	0	19	61	29	42	52	91
AP000347.2	13	43	17	0	19	33	32	60	28	40
AP000432.1	16	21	12	1	10	24	41	39	24	22
AP000439.3	54	326	51	66	178	655	219	568	611	669
AP000442.1	4	11	10	0	8	13	9	13	21	25
AP000487.5	13	31	17	0	7	9	18	34	15	20
AP000648.5	19	80	84	0	18	62	102	92	31	51
AP000892.6	230	103	53	3	51	1498	1655	759	120	721
AP001046.5	20	32	12	5	20	49	26	61	37	65
AP001062.7	64	80	26	41	38	110	68	148	128	61
AP001187.9	99	577	224	231	558	870	466	1466	1147	1876
AP001258.4	72	151	109	53	78	91	71	119	122	73
AP001372.2	63	221	303	22	86	217	136	290	152	418
AP001469.9	40	59	74	0	63	47	28	69	30	21
AP001505.10	167	63	57	24	39	93	80	73	37	17
AP003068.18	19	55	13	2	33	38	24	58	45	25
AP003068.23	66	259	175	52	102	271	132	438	379	143
AP003068.9	10	26	6	9	7	38	17	25	24	11
AP003774.1	148	378	661	174	223	265	63	305	219	26
AP006285.2	49	79	46	2	44	19	7	41	21	23
AP006621.5	64	40	64	19	54	65	28	92	43	149
AP1AR	788	1076	1882	116	507	1996	1301	2619	1614	3876
AP1B1	3708	6194	3793	1211	4689	11973	6158	11838	10823	11215
AP1G1	1297	4621	5576	110	2004	5698	4292	7057	5265	7408
AP1G2	843	2423	542	405	1330	1807	884	1834	1980	1688
AP1M1	1997	1719	1126	274	826	2126	2209	2039	1832	2931
AP1M2	6275	5876	3906	1346	4618	8408	3121	7374	6953	8288
AP1S1	5669	2724	3285	2383	5080	5272	1716	3218	2717	5126
AP1S2	270	877	554	16	174	881	1121	917	698	1011
AP1S3	153	315	338	26	153	122	108	71	126	380
AP2A1	5277	5994	2154	1526	3807	6845	4713	6244	6657	6531
AP2A2	6094	3776	2331	1227	2183	6350	4107	7243	5583	4651
AP2B1	8579	16400	5226	897	6607	13649	13636	17279	12062	8480
AP2M1	11767	9986	7313	2007	7966	16850	12024	16702	12920	19504
AP2S1	4199	2136	2367	1798	3098	4350	1981	3711	3464	4236
AP3B1	1317	2632	3421	146	1143	3832	2576	4373	3633	3760
AP3D1	8521	9181	5248	1601	6327	10500	7968	9694	9228	10067
AP3M1	812	2366	2675	67	983	2356	2540	3031	2132	2319
AP3M2	848	1192	333	113	337	348	516	660	421	369
AP3S1	777	1979	2114	159	699	2773	1773	2653	1789	6498
AP3S2	847	839	1106	96	560	3644	1499	3593	2568	2400
AP4B1	309	952	638	70	436	700	619	919	911	1022
AP4B1-AS1	4	42	11	0	10	7	7	31	19	13
AP4E1	151	518	333	9	276	794	732	891	694	802
AP4M1	831	1160	649	269	855	1109	815	1139	891	1121
AP4S1	45	197	61	17	88	340	460	343	264	340
AP5B1	820	1185	633	237	600	2315	1211	1928	1807	2385
AP5M1	452	1983	1345	32	505	3601	2462	4784	3122	3617
AP5S1	565	686	324	302	571	1065	611	863	907	716
AP5Z1	2332	3757	881	797	1751	2393	1830	2135	2047	2439
APAF1	490	1255	1426	85	512	1774	1224	2212	1644	1061
APBA1	79	287	121	86	226	1071	712	892	487	288
APBA2	685	205	111	32	94	174	83	203	431	150
APBA3	765	737	380	516	403	804	525	744	726	1013
APBB1	321	444	99	96	130	1255	2055	976	768	1221
APBB1IP	176	360	167	43	73	507	294	758	1210	324
APBB2	1040	1435	2061	29	810	1347	1765	1764	1067	1301
APBB3	229	396	139	126	152	309	262	464	353	265
APC	357	876	1172	5	353	2149	2330	2445	1630	5799
APC2	126	199	72	30	156	447	302	403	291	462
APCDD1	5046	1063	449	946	4642	960	924	1405	1039	639
APEH	6562	6041	6227	2195	5440	8804	4689	8038	7563	8254
APEX1	3119	6980	2415	1000	2430	5219	3426	6189	4550	4304
APEX2	1207	2555	1015	427	1361	2198	1322	1963	2021	2168
APH1A	6337	8626	6788	2255	6024	15022	7757	14225	12203	12402
APH1B	224	238	248	54	163	342	357	687	399	323
API5	3832	5861	4624	154	1834	4733	4116	5616	4025	6002
APIP	496	733	2405	69	196	978	621	791	803	629
APITD1	22	72	101	0	18	114	62	88	92	161
APITD1-CORT	4	12	8	0	4	14	8	24	19	23
APLF	157	197	277	0	27	107	146	119	65	83
APLN	310	114	187	117	262	48	52	43	40	41
APLNR	790	1281	551	51	741	850	1021	867	683	629
APLP1	46	45	4	14	24	198	274	146	254	261
APLP2	7491	28755	15396	2365	11115	45225	27251	50155	36710	49442
APMAP	3940	8827	2824	1488	4512	4208	2548	7215	5472	3934
APOA1BP	2855	3137	2612	2416	3118	4095	2529	3368	3119	4497
APOBEC1	11	40	60	36	87	69	34	72	149	2863
APOBEC3B	377	510	530	33	144	2055	800	1520	1815	151
APOBEC3C	660	1376	1042	112	280	3413	2400	2701	1623	1128
APOBEC3D	66	140	130	34	36	265	115	308	315	127
APOBEC3F	73	158	143	24	42	211	166	249	245	125
APOBEC3G	195	263	322	48	70	372	267	332	754	200
APOBR	1371	2436	948	617	1500	12846	5092	10242	11193	1688
APOC1	148	1798	393	25	89	285	110	649	273	177
APOD	457	498	238	126	107	814	690	2965	1452	460
APOE	3503	7197	2093	1373	2365	6874	1539	9358	4622	3111
APOL1	1180	2944	1793	483	810	3015	2293	1812	7071	4695
APOL2	804	1181	1077	251	394	1688	1068	1537	2928	1604
APOL3	604	686	959	181	275	858	873	1086	2017	816
APOL4	382	278	524	40	19	282	189	353	511	76
APOL6	984	4405	3639	166	1286	6107	3832	5153	10303	9685
APOLD1	2430	1422	1274	108	728	1432	1031	3753	844	2076
APOM	9	149	28	32	78	124	68	156	99	1295
APOO	210	489	489	70	287	652	348	678	552	637
APOOL	445	1254	1362	41	348	1515	1248	2239	839	1288
APOPT1	223	641	309	115	164	909	586	877	710	1084
APP	25769	57089	48074	6613	26246	65206	44484	75251	44264	34116
APPBP2	563	1448	1160	76	417	1677	1768	2398	1411	2014
APPL1	1221	2061	2414	29	587	3025	2776	3845	2107	5251
APPL2	1013	2865	1814	139	1081	12714	3782	12300	10782	14899
APRT	2863	4856	2024	1514	3832	5050	2631	5027	4385	4049
APTR	213	357	297	67	259	482	304	555	400	531
APTX	1044	950	1047	199	784	1099	807	1173	1007	1023
AQP1	1490	15867	792	163	2914	6548	6838	6393	2973	31207
AQP11	17	113	46	11	95	212	324	383	300	3775
AQP3	110	638	268	102	284	1016	903	1021	969	12852
AQP7	179	130	43	10	61	827	181	528	541	2782
AQP8	6	925	103	82	128	74234	7833	84603	62173	142
AQP9	157	547	178	5	19	11	9	28	26	36
AQR	762	1698	1462	69	1027	2530	2278	3240	2238	2366
AR	46	84	35	0	15	248	689	280	152	208
ARAF	2624	4543	1482	1429	2724	6477	3577	6455	5237	5634
ARAP1	2384	5384	2115	840	2271	5986	3408	7296	5539	6146
ARAP2	130	1273	993	3	234	890	924	902	1261	1870
ARAP3	654	764	449	171	626	606	779	815	487	388
ARCN1	2608	10375	7581	339	3102	9730	7357	10712	8097	13492
AREG	6464	1119	5826	174	1683	1640	665	1537	951	343
AREL1	770	2243	868	99	835	3190	2139	3568	2774	3567
ARF1	31066	20418	17546	12116	27001	38151	20055	30693	28727	35447
ARF3	4850	8361	6505	1074	5109	19437	11077	18930	17974	11390
ARF4	4110	10348	8554	379	2913	11072	10250	10363	8646	10461
ARF5	5171	5347	3704	3171	4529	8253	3976	6914	6378	7813
ARF6	2686	6372	3273	701	3327	12778	7836	12465	10708	11913
ARFGAP1	5051	5112	1515	2233	3696	3172	2277	3036	2788	3479
ARFGAP2	5473	4498	2735	722	2556	6009	3734	6017	5142	5405
