	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
CYSRT1	47	30	15	11	41	13	10	12	7	25
CYSTM1	1833	2523	4605	1320	2857	9161	4073	7517	7033	8906
CYTH1	993	2446	1724	375	1354	4057	2521	5348	4183	3733
CYTH2	2585	3411	1320	583	1912	4312	2251	3461	3470	3049
CYTH3	1046	1768	592	100	335	1700	1795	2051	1149	2905
CYTH4	386	695	205	106	178	756	370	1135	1597	409
CYTIP	98	278	138	52	118	607	211	810	1208	527
CYYR1	129	321	154	6	105	505	550	685	450	526
D2HGDH	908	771	379	383	814	1446	682	1986	1127	717
D4S234E	66	73	105	41	173	401	302	254	519	343
DAAM1	344	1159	470	14	283	1935	2242	2101	1133	1456
DAAM2	394	565	116	20	287	1612	1628	3408	1319	2507
DAB1	1	47	9	7	48	27	49	39	18	5358
DAB2	935	7455	3361	127	734	3502	5664	5338	3338	2518
DAB2IP	4609	6115	2589	711	3828	14968	8591	13752	9779	8118
DACH1	587	302	1679	78	980	300	229	563	324	1038
DACT1	167	1068	174	45	136	335	692	506	375	315
